,N,R,SDB,RSDB,MB,RMB,RMSE,RRMSE,URAopt,URAtar,URAthr
0,1937,0.46,0.15,0.1810505814062722,-0.2,-0.24140077520836295,0.25,0.3017509690104537,0.1244192049561177,0.2627774909654104,0.42178626742385134
1,165,0.74,0.15,0.17365069829366467,-0.09,-0.1041904189761988,0.17,0.19680412473281997,0.48484848484848486,0.6181818181818182,0.6727272727272727
2,1986,0.46,0.14,0.16863373397691855,-0.2,-0.2409053342527408,0.25,0.301131667815926,0.11782477341389729,0.2688821752265861,0.43605236656596175
3,116,0.34,0.2,0.23542013198238737,-0.09,-0.1059390593920743,0.22,0.2589621451806261,0.46551724137931033,0.5344827586206896,0.5517241379310345
4,1973,0.45,0.15,0.18085338169358564,-0.2,-0.24113784225811422,0.25,0.30142230282264276,0.1479979726305119,0.2868727825646224,0.4379118094272681
5,129,0.4,0.17,0.1977114683637539,-0.08,-0.09304069099470771,0.18,0.20934155473809235,0.32558139534883723,0.5503875968992248,0.6434108527131783
6,196,0.64,0.12,0.1499792017830641,-0.18,-0.22496880267459615,0.22,0.2749618699356175,0.15306122448979592,0.23979591836734693,0.42346938775510207
7,4,0.06,0.01,0.010599384407152386,-0.02,-0.021198768814304773,0.03,0.031798153221457154,1.0,1.0,1.0
8,4775,0.06,0.51,0.6235426712828126,-0.37,-0.45237409485223656,0.63,0.770258593937592,0.04146596858638744,0.13465968586387433,0.3643979057591623
9,98,0.04,0.08,0.10507463146701244,-0.24,-0.3152238944010373,0.26,0.34149255226779046,0.0,0.0,0.1326530612244898
